CONTAINER ID   IMAGE                              COMMAND                  CREATED        STATUS                  PORTS                                                                                             NAMES
a411ba50228d   caddy:2.8.4                        "caddy run --config …"   14 hours ago   Up 14 hours (healthy)   0.0.0.0:80->80/tcp, [::]:80->80/tcp, 0.0.0.0:443->443/tcp, [::]:443->443/tcp, 443/udp, 2019/tcp   caddy
3744faf12846   ghcr.io/openclaw/openclaw:latest   "docker-entrypoint.s…"   14 hours ago   Up 7 hours (healthy)    0.0.0.0:28789->18789/tcp, [::]:28789->18789/tcp                                                   openclaw-test
1cc6019d079b   ghcr.io/openclaw/openclaw:latest   "docker-entrypoint.s…"   14 hours ago   Up 14 hours (healthy)   0.0.0.0:38789->18789/tcp, [::]:38789->18789/tcp                                                   openclaw-prod
e43cc4949405   moltbox-gateway:de94de7            "moltbox --config-pa…"   14 hours ago   Up 14 hours (healthy)   0.0.0.0:17474->7474/tcp, [::]:17474->7474/tcp                                                     gateway
8270c6fb0e01   ghcr.io/openclaw/openclaw:latest   "docker-entrypoint.s…"   14 hours ago   Up 7 hours (healthy)    0.0.0.0:18790->18789/tcp, [::]:18790->18789/tcp                                                   openclaw-dev
a0ff6fd6578a   moltbox-opensearch:local           "./opensearch-docker…"   22 hours ago   Up 22 hours (healthy)   9200/tcp, 9300/tcp, 9600/tcp, 9650/tcp                                                            opensearch
61b13ec5ba5a   moltbox-tools:local                "docker-entrypoint.s…"   2 days ago     Up 2 days               0.0.0.0:7474->7474/tcp, [::]:7474->7474/tcp                                                       moltbox-tools
32247dbb41cf   931c08dc525c                       "./opensearch-docker…"   2 days ago     Up 2 days (healthy)     9200/tcp, 9300/tcp, 9600/tcp, 9650/tcp                                                            moltbox-opensearch
d7b1decef91e   moltbox-ollama:local               "/bin/ollama serve"      2 days ago     Up 2 days (healthy)     11434/tcp                                                                                         moltbox-ollama
5196548d1c1d   openclaw:local                     "docker-entrypoint.s…"   3 days ago     Up 14 hours (healthy)   0.0.0.0:18789->18789/tcp, [::]:18789->18789/tcp                                                   moltbox-openclaw
